# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
185,110_20,SYSTEM,110,0.0,1
185,110_20,Role 1,20,0.2,1
186,21_16,SYSTEM,21,0.0,1
186,21_16,Role 1,16,0.25,1
187,4_40,SYSTEM,4,0.0,1
187,4_40,Role 1,40,0.1,1
188,12_29,SYSTEM,12,0.0,1
188,12_29,Role 1,29,0.14,1
189,3_4,SYSTEM,3,0.0,1
189,3_4,Role 1,4,0.99,1
190,118_40,SYSTEM,118,0.0,1
190,118_40,Role 1,40,0.1,1
191,17_87,SYSTEM,17,0.0,1
191,17_87,Role 1,87,0.05,1
192,12_12,SYSTEM,12,0.0,1
192,12_12,Role 1,12,0.34,1
193,4_18,SYSTEM,4,0.0,1
193,4_18,Role 1,18,0.23,1
194,7_7,SYSTEM,7,0.0,1
194,7_7,Role 1,7,0.58,1
195,27_20,SYSTEM,27,0.0,1
195,27_20,Role 1,20,0.2,1
196,1_90,SYSTEM,1,0.0,1
196,1_90,Role 1,90,0.04,1
197,5_29,SYSTEM,5,0.0,1
197,5_29,Role 1,29,0.14,1
198,2_43,SYSTEM,2,0.0,1
198,2_43,Role 1,43,0.09,1
199,121_93,SYSTEM,121,0.0,1
199,121_93,Role 1,93,0.04,1
200,3_88,SYSTEM,3,0.0,1
200,3_88,Role 1,88,0.05,1
201,4_5,SYSTEM,4,0.0,1
201,4_5,Role 1,5,0.82,1
202,3_35,SYSTEM,3,0.0,1
202,3_35,Role 1,35,0.12,1
203,9_54,SYSTEM,9,0.0,1
203,9_54,Role 1,54,0.07,1
204,41_34,SYSTEM,41,0.0,1
204,41_34,Role 1,34,0.12,1
205,9_32,SYSTEM,9,0.0,1
205,9_32,Role 1,32,0.13,1
206,14_17,SYSTEM,14,0.0,1
206,14_17,Role 1,17,0.24,1
207,112_21,SYSTEM,112,0.0,1
207,112_21,Role 1,21,0.19,1
208,7_33,SYSTEM,7,0.0,1
208,7_33,Role 1,33,0.12,1
209,3_25,SYSTEM,3,0.0,1
209,3_25,Role 1,25,0.16,1
210,11_16,SYSTEM,11,0.0,1
210,11_16,Role 1,16,0.25,1
211,112_45,SYSTEM,112,0.0,1
211,112_45,Role 1,45,0.09,1
212,14_23,SYSTEM,14,0.0,1
212,14_23,Role 1,23,0.17,1
213,8_7,SYSTEM,8,0.0,1
