Total Solutions Generated,509
Total Iterations,130

# Iteration,Allocation Id,Execution Cost,Cycle Time,Execution Time,Cycle Time Deviation,Execution Time Deviation
37,"[63488, 63488, 30720, 30720, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19988909.64311354,2888710.4552421924,19961185.773983,264989.56608727155,331058.21163699776
38,"[63488, 63488, 63488, 30720, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",20079157.654474687,2875380.1369689396,20051308.614732,128878.5467930003,257961.19017700106
39,"[63488, 63488, 63488, 63488, 30720, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19472107.318393357,2661625.513930826,19445100.234734,275300.23025151715,259362.28799800202
40,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[14336, 14336, 14336, 14336, 14336, 0, 0]",19298272.595492456,2539151.3204563516,19271506.614084,221835.7780520809,172802.06561399996
41,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 14336, 14336, 14336, 14336, 0, 0]",18957342.69918842,2777498.7664121683,18931049.574779,314083.1041595568,339732.8816209994
42,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 14336, 14336, 14336, 30720, 0, 0]",19639137.54944688,2657217.0338604855,19611898.801112,176101.15995965572,350792.3396249972
43,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 14336, 14336, 30720, 30720, 0, 0]",19908633.29520918,2559397.650084931,19881020.766367,170242.55812352337,513317.6934769973
44,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 14336, 30720, 30720, 30720, 0, 0]",20070205.91090358,2706593.5940372,20042369.286894,176105.93722414877,343026.23468299955
45,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",19474621.13781776,2666151.5107605834,19447610.567585,134602.70284319017,177507.1609070003
46,"[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[63488, 64512, 63488, 63488, 63488, 0, 0]_[63488, 63488, 63488, 63488, 63488, 0, 0]_[30720, 30720, 30720, 30720, 30720, 0, 0]",18699704.77173306,2294658.1854410293,18673768.981481,244013.75938350568,422033.1177479997
