# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
93,10_27_53,Role 1,27,0.02,1
93,10_27_53,Role 2,53,0.95,1
94,7_4_66,SYSTEM,7,0.0,1
94,7_4_66,Role 1,4,0.18,1
94,7_4_66,Role 2,66,0.92,1
95,55_14_59,SYSTEM,55,0.0,1
95,55_14_59,Role 1,14,0.05,1
95,55_14_59,Role 2,59,0.91,1
96,3_31_66,SYSTEM,3,0.0,1
96,3_31_66,Role 1,31,0.02,1
96,3_31_66,Role 2,66,0.9,1
97,49_39_47,SYSTEM,49,0.0,1
97,49_39_47,Role 1,39,0.01,1
97,49_39_47,Role 2,47,0.93,1
98,57_24_60,SYSTEM,57,0.0,1
98,57_24_60,Role 1,24,0.03,1
98,57_24_60,Role 2,60,0.93,1
99,10_13_48,SYSTEM,10,0.0,1
99,10_13_48,Role 1,13,0.04,1
99,10_13_48,Role 2,48,0.92,1
100,27_4_36,SYSTEM,27,0.0,1
100,27_4_36,Role 1,4,0.1,1
100,27_4_36,Role 2,36,0.96,1
101,3_11_28,SYSTEM,3,0.0,1
101,3_11_28,Role 1,11,0.03,1
101,3_11_28,Role 2,28,0.97,1
102,7_22_56,SYSTEM,7,0.0,1
102,7_22_56,Role 1,22,0.03,1
102,7_22_56,Role 2,56,0.91,1
103,5_13_53,SYSTEM,5,0.0,1
103,5_13_53,Role 1,13,0.04,1
103,5_13_53,Role 2,53,0.93,1
104,5_22_59,SYSTEM,5,0.0,1
104,5_22_59,Role 1,22,0.03,1
104,5_22_59,Role 2,59,0.92,1
105,15_28_47,SYSTEM,15,0.0,1
105,15_28_47,Role 1,28,0.02,1
105,15_28_47,Role 2,47,0.85,1
106,41_28_63,SYSTEM,41,0.0,1
106,41_28_63,Role 1,28,0.02,1
106,41_28_63,Role 2,63,0.93,1
107,32_4_62,SYSTEM,32,0.0,1
107,32_4_62,Role 1,4,0.18,1
107,32_4_62,Role 2,62,0.93,1
108,28_5_35,SYSTEM,28,0.0,1
108,28_5_35,Role 1,5,0.08,1
