# Iteration,Pool ID,Resource,Allocation,Utilization,Single Resource cost per time unit
5692,1_9_1_4_2_7_2,Role 7,2,0.11,1
5693,3_9_1_3_2_1_5,SYSTEM,3,0.0,1
5693,3_9_1_3_2_1_5,Role 1,9,0.04,1
5693,3_9_1_3_2_1_5,Role 2,1,0.16,1
5693,3_9_1_3_2_1_5,Role 3,3,0.13,1
5693,3_9_1_3_2_1_5,Role 5,2,0.05,1
5693,3_9_1_3_2_1_5,Role 6,1,0.05,1
5693,3_9_1_3_2_1_5,Role 7,5,0.03,1
5694,7_31_2_2_1_9_43,SYSTEM,7,0.0,1
5694,7_31_2_2_1_9_43,Role 1,31,0.01,1
5694,7_31_2_2_1_9_43,Role 2,2,0.08,1
5694,7_31_2_2_1_9_43,Role 3,2,0.19,1
5694,7_31_2_2_1_9_43,Role 5,1,0.09,1
5694,7_31_2_2_1_9_43,Role 6,9,0.0,1
5694,7_31_2_2_1_9_43,Role 7,43,0.01,1
5695,34_5_4_10_4_1_13,SYSTEM,34,0.0,1
5695,34_5_4_10_4_1_13,Role 1,5,0.07,1
5695,34_5_4_10_4_1_13,Role 2,4,0.04,1
5695,34_5_4_10_4_1_13,Role 3,10,0.04,1
5695,34_5_4_10_4_1_13,Role 5,4,0.02,1
5695,34_5_4_10_4_1_13,Role 6,1,0.05,1
5695,34_5_4_10_4_1_13,Role 7,13,0.02,1
5696,1_3_4_6_2_7_4,SYSTEM,1,0.0,1
5696,1_3_4_6_2_7_4,Role 1,3,0.15,1
5696,1_3_4_6_2_7_4,Role 2,4,0.04,1
5696,1_3_4_6_2_7_4,Role 3,6,0.07,1
5696,1_3_4_6_2_7_4,Role 5,2,0.05,1
5696,1_3_4_6_2_7_4,Role 6,7,0.01,1
5696,1_3_4_6_2_7_4,Role 7,4,0.05,1
5697,1_3_1_1_1_4_4,SYSTEM,1,0.0,1
5697,1_3_1_1_1_4_4,Role 1,3,0.13,1
5697,1_3_1_1_1_4_4,Role 2,1,0.17,1
5697,1_3_1_1_1_4_4,Role 3,1,0.37,1
5697,1_3_1_1_1_4_4,Role 5,1,0.09,1
5697,1_3_1_1_1_4_4,Role 6,4,0.01,1
5697,1_3_1_1_1_4_4,Role 7,4,0.06,1
5698,7_2_18_1_3_5_3,SYSTEM,7,0.0,1
5698,7_2_18_1_3_5_3,Role 1,2,0.17,1
5698,7_2_18_1_3_5_3,Role 2,18,0.01,1
5698,7_2_18_1_3_5_3,Role 3,1,0.42,1
5698,7_2_18_1_3_5_3,Role 5,3,0.03,1
5698,7_2_18_1_3_5_3,Role 6,5,0.01,1
5698,7_2_18_1_3_5_3,Role 7,3,0.07,1
5699,7_23_18_5_36_10_3,SYSTEM,7,0.0,1
5699,7_23_18_5_36_10_3,Role 1,23,0.02,1
5699,7_23_18_5_36_10_3,Role 2,18,0.01,1
5699,7_23_18_5_36_10_3,Role 3,5,0.08,1
5699,7_23_18_5_36_10_3,Role 5,36,0.0,1
5699,7_23_18_5_36_10_3,Role 6,10,0.0,1
5699,7_23_18_5_36_10_3,Role 7,3,0.07,1
5700,23_2_3_2_2_1_9,SYSTEM,23,0.0,1
5700,23_2_3_2_2_1_9,Role 1,2,0.17,1
5700,23_2_3_2_2_1_9,Role 2,3,0.06,1
5700,23_2_3_2_2_1_9,Role 3,2,0.21,1
5700,23_2_3_2_2_1_9,Role 5,2,0.05,1
5700,23_2_3_2_2_1_9,Role 6,1,0.06,1
5700,23_2_3_2_2_1_9,Role 7,9,0.02,1
5701,23_10_4_6_2_7_44,SYSTEM,23,0.0,1
5701,23_10_4_6_2_7_44,Role 1,10,0.04,1
5701,23_10_4_6_2_7_44,Role 2,4,0.04,1
5701,23_10_4_6_2_7_44,Role 3,6,0.07,1
5701,23_10_4_6_2_7_44,Role 5,2,0.05,1
5701,23_10_4_6_2_7_44,Role 6,7,0.01,1
5701,23_10_4_6_2_7_44,Role 7,44,0.0,1
5702,1_2_1_2_1_2_1,SYSTEM,1,0.0,1
5702,1_2_1_2_1_2_1,Role 1,2,0.17,1
5702,1_2_1_2_1_2_1,Role 2,1,0.14,1
5702,1_2_1_2_1_2_1,Role 3,2,0.18,1
5702,1_2_1_2_1_2_1,Role 5,1,0.09,1
5702,1_2_1_2_1_2_1,Role 6,2,0.02,1
5702,1_2_1_2_1_2_1,Role 7,1,0.21,1
5703,8_30_16_2_32_2_3,SYSTEM,8,0.0,1
5703,8_30_16_2_32_2_3,Role 1,30,0.01,1
5703,8_30_16_2_32_2_3,Role 2,16,0.01,1
5703,8_30_16_2_32_2_3,Role 3,2,0.19,1
5703,8_30_16_2_32_2_3,Role 5,32,0.0,1
5703,8_30_16_2_32_2_3,Role 6,2,0.02,1
5703,8_30_16_2_32_2_3,Role 7,3,0.06,1
5704,7_10_18_3_3_10_4,SYSTEM,7,0.0,1
5704,7_10_18_3_3_10_4,Role 1,10,0.03,1
5704,7_10_18_3_3_10_4,Role 2,18,0.01,1
5704,7_10_18_3_3_10_4,Role 3,3,0.12,1
5704,7_10_18_3_3_10_4,Role 5,3,0.03,1
5704,7_10_18_3_3_10_4,Role 6,10,0.0,1
5704,7_10_18_3_3_10_4,Role 7,4,0.05,1
5705,7_3_1_2_1_1_2,SYSTEM,7,0.0,1
5705,7_3_1_2_1_1_2,Role 1,3,0.11,1
5705,7_3_1_2_1_1_2,Role 2,1,0.15,1
5705,7_3_1_2_1_1_2,Role 3,2,0.18,1
5705,7_3_1_2_1_1_2,Role 5,1,0.08,1
5705,7_3_1_2_1_1_2,Role 6,1,0.04,1
5705,7_3_1_2_1_1_2,Role 7,2,0.12,1
5706,2_8_1_1_1_1_1,SYSTEM,2,0.0,1
5706,2_8_1_1_1_1_1,Role 1,8,0.05,1
5706,2_8_1_1_1_1_1,Role 2,1,0.16,1
5706,2_8_1_1_1_1_1,Role 3,1,0.37,1
5706,2_8_1_1_1_1_1,Role 5,1,0.09,1
5706,2_8_1_1_1_1_1,Role 6,1,0.05,1
5706,2_8_1_1_1_1_1,Role 7,1,0.21,1
5707,24_2_4_6_1_1_9,SYSTEM,24,0.0,1
5707,24_2_4_6_1_1_9,Role 1,2,0.16,1
5707,24_2_4_6_1_1_9,Role 2,4,0.04,1
5707,24_2_4_6_1_1_9,Role 3,6,0.07,1
5707,24_2_4_6_1_1_9,Role 5,1,0.09,1
5707,24_2_4_6_1_1_9,Role 6,1,0.05,1
5707,24_2_4_6_1_1_9,Role 7,9,0.02,1
5708,1_1_4_1_1_10_1,SYSTEM,1,0.0,1
5708,1_1_4_1_1_10_1,Role 1,1,0.36,1
5708,1_1_4_1_1_10_1,Role 2,4,0.04,1
5708,1_1_4_1_1_10_1,Role 3,1,0.38,1
5708,1_1_4_1_1_10_1,Role 5,1,0.09,1
5708,1_1_4_1_1_10_1,Role 6,10,0.0,1
5708,1_1_4_1_1_10_1,Role 7,1,0.18,1
5709,2_1_4_5_1_1_1,SYSTEM,2,0.0,1
5709,2_1_4_5_1_1_1,Role 1,1,0.35,1
5709,2_1_4_5_1_1_1,Role 2,4,0.04,1
5709,2_1_4_5_1_1_1,Role 3,5,0.08,1
5709,2_1_4_5_1_1_1,Role 5,1,0.09,1
5709,2_1_4_5_1_1_1,Role 6,1,0.05,1
